Nom,Signification,Format,Obligatoire,Calculée
id_realisateur,identifiant du réalisateur,Entier,Oui,non
nom_realisateur,Nom du réalisateur,Texte,Oui,Non
prenom_realisateur,Prénom du réalisateur,Texte,Oui,Non
date_naissance,Date de naissance du réalisateur,Date,Non,Non
nationalite,Nationalité du réalisateur,Text,Non,Non
biographie,Résumé de la carrière ou de la vie du réalisateur,Text,Non,Non
photo-realisateur_url,l'image de profil du réalisateur,Text,Non,Non
id_film,identifiant du film,Entier,Oui,Non
titre_film,Titre du film,Texte,Oui,Non
description-film,Description du film,Text,Non,Non
date_sortie,Date de sortie du film,Date,Oui,Non
duree,Durée du film,Entier,Oui,Non
classification_age,Limite d'âge,Entier,Non,Non
poster_film_url,Affiche verticale du film,Text,Oui,Non
video_stream_url,Lien vers le flux vidéo principal,Text,Oui,Non
id_genre,identifiant du genre,Entier,Oui,Non
nom_genre,Nom du genre cinématographique,Text,Oui,Non
description_genre,Courte explication des caractéristiques du genre,Text,Non,Non
